Message,num_words,num_uppercase,num_lowercase_words,num_chars,num_special_chars,num_links,num_spam_words,num_digits,label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,3,17,111,9,0,0,0,ham
Ok lar... Joking wif u oni...,6,2,4,29,6,0,0,0,ham
U dun say so early hor... U c already then say...,11,2,9,49,6,0,0,0,ham
"Nah I don't think he goes to usf, he lives around here though",13,2,11,61,2,0,0,0,ham
Even my brother is not like to speak with me. They treat me like aids patent.,16,2,14,77,2,0,0,0,ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,10,15,160,6,0,0,1,ham
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,2,19,109,6,0,0,0,ham
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,3,34,196,4,0,0,0,ham
I HAVE A DATE ON SUNDAY WITH WILL!!,8,26,0,35,2,0,0,0,ham
Oh k...i'm watching here:),4,1,3,26,6,0,0,0,ham
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,3,15,81,5,0,0,1,ham
Fine if thats the way u feel. Thats the way its gota b,13,2,11,56,1,0,0,0,ham
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",24,32,13,155,8,0,0,23,ham
Is that seriously how you spell his name?,8,1,7,41,1,0,0,0,ham
I‘m going to try for 2 months ha ha only joking,11,1,9,47,0,0,0,1,ham
So ü pay first lar... Then when is da stock comin...,11,2,9,52,6,0,0,0,ham
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,3,16,88,3,0,0,1,ham
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,8,20,144,7,0,0,0,ham
Lol your always so convincing.,5,1,4,30,1,0,0,0,ham
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,6,22,134,6,0,0,0,ham
"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,2,13,75,7,0,0,0,ham
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,5,7,64,4,0,0,0,ham
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,1,25,130,4,0,0,0,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,41,5,34,188,7,0,0,2,ham
K tell me anything about you.,6,1,5,29,1,0,0,0,ham
For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,2,15,84,1,0,0,0,ham
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,13,21,158,2,0,0,1,ham
"Oops, I'll let you know when my roommate's done",9,2,7,47,3,0,0,0,ham
I see the letter B on my car,8,2,6,28,0,0,0,0,ham
